"category","main_name","main_image","product_name","brewing_quantity","brewing_time","brewing_tem","sizes_img","sizes_unit","sizes_price","images","description","ingredients_detail","main_price"
"Green Tea","Japanese Sencha Loose Leaf Gift Cube","https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw4cf5522d/images/UXProject/new-tea-images/T110AE013_japanese-sencha_r1.jpg?sw=262&sh=262&sm=fit","Japanese Sencha Loose Leaf Gift Cube","1 tsp per cup","1-3 mins","80°C (176°F)","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw92378cc7/images/products/T110AE013_japanese-sencha_sha1.png?sw=55&sh=55&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw9edeb8f2/images/products/T110AG009_japanese-sencha_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwfa6e2071/images/products/T110AI014_japanese-sencha_sha1.png?sw=100&sh=100&sm=fit']","['Cube 100g-3.5oz', 'Foil 250g-8.8oz', 'Tin 250g-8.8oz']","['A$18.00', 'A$40.00', 'A$42.00']","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw92378cc7/images/products/T110AE013_japanese-sencha_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw4cf5522d/images/UXProject/new-tea-images/T110AE013_japanese-sencha_r1.jpg?sw=100&sh=100&sm=fit']","Allow this traditional tea of Japan to lift your spirits day or night with a fresh, clean yet subtly powerful brew. This Japanese Sencha is grassy green and oh so vibrant.Enjoy with: Perfect on its own.Store in a cool, dry place.","Green tea",""
"Herbal Tea & Floral Tisane","Just Chamomile Teabag Gift Cube","https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw0e9887ec/images/UXProject/new-tea-images/B140AE014_just-chamomile-tbag_r1.png?sw=262&sh=262&sm=fit","Just Chamomile Teabag Gift Cube","1 bag per cup","3-5 mins","100°C (212°F)","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw6f9f32a2/images/B140AE014_just-chamomile-yb_p1.png?sw=55&sh=55&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw209b0c2d/images/products/B140AG027_just-chamomile-tea-in-a-bag_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwf7d93ac8/images/products/B140AI007_just-chamomile-tea-in-a-bag_sha1.png?sw=100&sh=100&sm=fit']","['Cube 25pk', 'Foil 60pk', 'Tin 60pk']","['A$12.00', 'A$27.00', 'A$29.00']","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw6f9f32a2/images/B140AE014_just-chamomile-yb_p1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw0e9887ec/images/UXProject/new-tea-images/B140AE014_just-chamomile-tbag_r1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw758c9a77/images/products/2020 Aug/JustChamomille_Teabag_4_1500x1500.jpg?sw=100&sh=100&sm=fit']","Need sleep? Sip on chamomile, it's loved for it's super relaxing, restful qualities. A fragrant infusion of golden chamomile flowers will transport you to a field of sweet cut hay in the summertime. Drinking chamomile tea is a great start or finish to your day.Enjoy hot on its own or with a drizzle of honey.Store in a cool, dry place.","Chamomile flowers",""
"Herbal Tea & Floral Tisane","Just Peppermint Loose Leaf Gift Cube","https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw35345608/images/UXProject/new-tea-images/T140AE022_just-peppermint.jpg?sw=262&sh=262&sm=fit","Just Peppermint Loose Leaf Gift Cube","1 tsp per cup","2-3 mins","100°C (212°F)","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwe136ad66/images/products/T140AE022_just-peppermint_sha1.png?sw=55&sh=55&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw8bb83d9c/images/products/T140AG026_just-peppermint_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw5841c0d0/images/products/T140AI048_just-peppermint_sha1.png?sw=100&sh=100&sm=fit']","['Cube 50g-1.7oz', 'Foil 120g-4.2oz', 'Tin 120g-4.2oz']","['A$12.00', 'A$27.00', 'A$29.00']","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwe136ad66/images/products/T140AE022_just-peppermint_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw35345608/images/UXProject/new-tea-images/T140AE022_just-peppermint.jpg?sw=100&sh=100&sm=fit']","Settle your belly. Lush peppermint leaves create a bright infusion, hot or cold. A well-rounded flavour captures the sweet essence of all things minty with a cool lingering aroma to freshen your day.A bright and golden-green infusion with powerful aroma and a sensationally minty, sweet, smooth taste. Clean, fresh, uplifting and vibrant.Enjoy hot on its own.Store in a cool, dry place.","Peppermint",""
"Herbal Tea & Floral Tisane","Just Peppermint Teabag Gift Cube","https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw29748708/images/UXProject/new-tea-images/B140AE016_just-peppermint-tbag_r1.png?sw=262&sh=262&sm=fit","Just Peppermint Teabag Gift Cube","1 bag per cup","2-3 mins","100°C (212°F)","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw4a392f29/images/B140AE016_just-peppermint-yb_p1.png?sw=55&sh=55&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw34afdfdf/images/products/B140AG029_just-peppermint-tea-in-a-bag_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwe0080073/images/products/B140AI009_just-peppermint-tea-in-a-bag_sha1.png?sw=100&sh=100&sm=fit']","['Cube 25pk', 'Foil 60pk', 'Tin 60pk']","['A$12.00', 'A$27.00', 'A$29.00']","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw4a392f29/images/B140AE016_just-peppermint-yb_p1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw29748708/images/UXProject/new-tea-images/B140AE016_just-peppermint-tbag_r1.png?sw=100&sh=100&sm=fit']","Settle your belly. Lush peppermint leaves create a bright infusion, hot or cold. A well-rounded flavour captures the sweet essence of all things minty with a cool lingering aroma to freshen your day.A bright and golden-green infusion with powerful aroma and a sensationally minty, sweet, smooth taste. Clean, fresh, uplifting and vibrant.Enjoy hot on its own.Store in a cool, dry place.","Peppermint",""
"Chocolate, Indulgent & Sweet Tea","La Fudgy 120g Loose Leaf Feature Cube","https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw992a869b/images/products/140220/T125AE273lafudgyp2.png?sw=262&sh=262&sm=fit","La Fudgy 120g Loose Leaf Feature Cube","1 tsp per cup","2-4 mins","100°C (212°F)","[]","[]","[]","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw992a869b/images/products/140220/T125AE273lafudgyp2.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwd81202f1/images/products/140220/T125AE273lafudgyr1.jpg?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw40642efb/images/products/140220/T125AE273lafudgyp1.png?sw=100&sh=100&sm=fit']","Net Wt. 120g / 4.2oz  What the fudge! Fragrant black tea, caramel pieces and maple flavours combine for one hell of a fudgy butterscotch dream! Think all the best bits of a sweet morsel: creamy, sticky, gooey indulgence – it’s lick-the-bowl-and-go-back-for-seconds delicious!","Black tea, caramel bits (condensed skimmed , sugar, glucose syrup, , humectant sorbitol syrup, emulsifier: mono & diglycerides of fatty acids), roasted chicory root, pumpkin bits, natural & artificial flavouring (condensed milk toffee, caramel, maple syrup, rum pot)","A$26.00"
"Herbal Tea & Floral Tisane","Lemongrass and Ginger Teabag Gift Cube","https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw4351191a/images/UXProject/new-tea-images/B140AE015_lemongrass-and-ginger-tbag_r1.png?sw=262&sh=262&sm=fit","Lemongrass and Ginger Teabag Gift Cube","1 bag per cup","3-5 mins","100°C (212°F)","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw817d58a3/images/B140AE015_lemongrass-and-ginger-yb_p1.png?sw=55&sh=55&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw7af9e024/images/products/B140AG028_organic-lemongrass-ginger_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw079a6f9c/images/products/B140AI008_organic-lemongrass-ginger_sha1.png?sw=100&sh=100&sm=fit']","['Cube 25pk', 'Foil 60pk', 'Tin 60pk']","['A$12.00', 'A$27.00', 'A$29.00']","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw817d58a3/images/B140AE015_lemongrass-and-ginger-yb_p1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw4351191a/images/UXProject/new-tea-images/B140AE015_lemongrass-and-ginger-tbag_r1.png?sw=100&sh=100&sm=fit']","Sniffles be gone!  Lemongrass and ginger are traditionally thought to have stacks of cold busting properties.  With a hint of zest and a whole lot of spicy bright lemongrass - this brew smacks you sideways with a refreshing sensation that's as vibrant as it is engaging. Pucker up! Enjoy with: Perfect on its own or with a drizzle of honeyStore in a cool, dry place.","Lemongrass, ginger",""
"Herbal Tea & Floral Tisane","Liquorice Legs Loose Leaf Gift Cube","https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwa2a7fc89/images/UXProject/new-tea-images/T140AE018_liquorice-legs_r1.jpg?sw=262&sh=262&sm=fit","Liquorice Legs Loose Leaf Gift Cube","1 tsp per cup","3-5 mins","100°C (212°F)","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw78d7ba33/images/products/T140AE018_liquorice-legs_sha1.png?sw=55&sh=55&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw35215088/images/products/T140AG020_liquorice-legs_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwf8615e3b/images/products/T140AI036_liquorice-legs_sha1.png?sw=100&sh=100&sm=fit']","['Cube 100g-3.5oz', 'Foil 250g-8.8oz', 'Tin 250g-8.8oz']","['A$16.00', 'A$36.00', 'A$38.00']","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw78d7ba33/images/products/T140AE018_liquorice-legs_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwa2a7fc89/images/UXProject/new-tea-images/T140AE018_liquorice-legs_r1.jpg?sw=100&sh=100&sm=fit']","Got a tickle in your throat? Keep your singing voice tip-top with the soothing properties of fennel, peppermint and calendula.Minty fresh with a lingering sweet aftertaste, this is the perfect guilt-free treat that'll keep you coming back for repeats!Enjoy hot or cold on its own.Store in a cool, dry place."," root, fennel seeds, peppermint",""
"African Rooibos & Honeybush Tea","Macadamia Brittle Loose Leaf Feature Cube","https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw894356f9/images/products/2020 July/T140AE223_macadamia-brittle_p2.png?sw=262&sh=262&sm=fit","Macadamia Brittle Loose Leaf Feature Cube","1 tsp per cup","3-5 mins","100°C (212°F)","[]","[]","[]","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw894356f9/images/products/2020 July/T140AE223_macadamia-brittle_p2.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwfacb2f8c/images/products/2020 July/T140AE223_macadamia-brittle_r1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw46c01e90/images/products/2020 July/Mobile_Featured-2_Mac-brittle_@2x.jpg?sw=100&sh=100&sm=fit']","Bundle up in your best woolly wares, gather ‘round the campfire and snuggle up to a toasty rooibos brittle delight! From top to toe this silky blend thrills with all the indulgence of crisp, caramelised marshmallow flavours.","Cinnamon, carob, apple, cocoa husks, sweet blackberry leaves, rooibos, pineapple bits (pineapple, sugar, acidifier; E330),  bits (4% sugar,), natural flavour, (2% , sugar).","A$26.00"
"Fruit Tea (Tisane)","Mangoes & Cream Loose Leaf Gift Cube","https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw468c955d/images/T130AE116_mangoes-and-cream_r1.jpg?sw=262&sh=262&sm=fit","Mangoes & Cream Loose Leaf Gift Cube","1 tsp","3-5 mins","100°C (212°F)","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwa768ab63/images/Mangoes_Cream_OB.png?sw=55&sh=55&sm=fit']","['Cube 100g-3.5oz']","['A$16.00']","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwa768ab63/images/Mangoes_Cream_OB.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw468c955d/images/T130AE116_mangoes-and-cream_r1.jpg?sw=100&sh=100&sm=fit']","Send your taste buds straight to the easy breezy palm islands with this lip-lickingly smooth mango and coconut combo that’ll have you sitting in the sand, soaking up the sun.","Apple, white hibiscus, mango bits (14%) (mango, sugar), sweet blackberry leaves, mango (6%), coconut flakes, natural and artificial flavouring, coconut pieces, natural and artificial cream flavouring (1%)",""
"Matcha","Matcha Bamboo Scoop","https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw589774d2/images/products/A31500001_matcha-bamboo-scoop_p1.png?sw=262&sh=262&sm=fit","Matcha Bamboo Scoop","","","","[]","[]","[]","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw589774d2/images/products/A31500001_matcha-bamboo-scoop_p1.png?sw=100&sh=100&sm=fit']","Traditionally used in the Japanese tea ceremony, this bamboo matcha scoop is used to measure the perfect amount of matcha.","Bamboo. Gentle hand wash only. Not suitable for microwave or dishwasher.","A$10.00"
"Matcha","Matcha Scoop Gold","https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw6010b359/images/products/2020 May/A31500068_copper-matcha-scoop_p1.png?sw=262&sh=262&sm=fit","Matcha Scoop Gold","","","","[]","[]","[]","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw6010b359/images/products/2020 May/A31500068_copper-matcha-scoop_p1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw58b1a0ac/images/products/2020 May/A31500068_copper-matcha-scoop_p2.png?sw=100&sh=100&sm=fit']","Matcha Scoop GoldMaking matcha gets a golden makeover! We’ve taken our traditional stainless-steel matcha scoop and dipped the whole thing in gold for a mysterious little number that’ll see you whipping up your daily cuppa with a twinkle in your eye.","Stainless steel. Gentle hand wash,+not suitable for microwave or+dishwasher.","A$6.00"
"Black Tea & Breakfast Tea","Melbourne Breakfast Loose Leaf Everday Tin","https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw4c6ddb67/images/UXProject/new-tea-images/T125AE023_melbourne-breakfast_r1.jpg?sw=262&sh=262&sm=fit","Melbourne Breakfast Loose Leaf Everday Tin","1 tsp per cup","2-4 mins","100°C (212°F)","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwd21ce9ab/images/products/T125AI039_melbourne-breakfast_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwa6e4c41a/images/products/T125AG027_melbourne-breakfast_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwd163e319/images/products/T125AE023_melbourne-breakfast_sha1.png?sw=55&sh=55&sm=fit']","['Tin 250g-8.8oz', 'Foil 250g-8.8oz', 'Cube 100g-3.5oz']","['A$38.00', 'A$36.00', 'A$16.00']","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwd21ce9ab/images/products/T125AI039_melbourne-breakfast_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw4c6ddb67/images/UXProject/new-tea-images/T125AE023_melbourne-breakfast_r1.jpg?sw=100&sh=100&sm=fit']","When the winds start howling, this brew will see you through. Indulge a little with this full-bodied vanilla sweet tea – bound to keep you cosy all year 'round. Sip it up Melbourne style!Enjoy with: Perfect on its own or with a dash of milk.Store in a cool, dry place.","Black tea, natural and artificial vanilla flavouring",""
"Limited Edition Tea","Melbourne Breakfast Loose Leaf Icon Tin","https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwafae3b05/images/products/T125AI105_melbourne-breakfast-100g-feature-tin_p2.png?sw=262&sh=262&sm=fit","Melbourne Breakfast Loose Leaf Icon Tin","1 tsp per cup","2-4 mins","100°C (212°F)","[]","[]","[]","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwafae3b05/images/products/T125AI105_melbourne-breakfast-100g-feature-tin_p2.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw04347c6d/images/products/T125AI105_melbourne-breakfast-100g-feature-tin_p1.png?sw=100&sh=100&sm=fit']","When the winds start howling, this brew will see you through. Indulge a little with this full-bodied vanilla sweet tea – bound to keep you cosy all year 'round. Sip it up Melbourne style!Enjoy with: Perfect on its own or with a dash of milk.","Black tea, natural and artificial vanilla flavouring","A$22.00"
"Tea Bags","Melbourne Breakfast Teabag Everyday Tin","https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw95186d27/images/UXProject/new-tea-images/B125AE019_melbourne-breakfast-tbag_r1.png?sw=262&sh=262&sm=fit","Melbourne Breakfast Teabag Everyday Tin","1 bag per cup","2-4 mins","100°C (212°F)","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw4415ccc4/images/products/B125AI009_melbourne-breakfast-tea-in-a-bag_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw03ec5945/images/products/B125AG044_melbourne-breakfast-tea-in-a-bag_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwf37e4fc2/images/B125AE019_melbourne-breakfast-yb_p1.png?sw=55&sh=55&sm=fit']","['Tin 60pk', 'Foil 60pk', 'Cube 25pk']","['A$38.00', 'A$36.00', 'A$16.00']","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw4415ccc4/images/products/B125AI009_melbourne-breakfast-tea-in-a-bag_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw95186d27/images/UXProject/new-tea-images/B125AE019_melbourne-breakfast-tbag_r1.png?sw=100&sh=100&sm=fit']","When the winds start howling, this brew will see you through. Indulge a little with this full-bodied vanilla sweet tea – bound to keep you cosy all year 'round. Sip it up Melbourne style!Enjoy with: Perfect on its own or with a dash of milk.Store in a cool, dry place.","Black tea, natural and artificial vanilla flavouring",""
"Oolong Tea","Milky Oolong Loose Leaf Gift Cube","https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw6906074c/images/UXProject/new-tea-images/T105AE011_milky-oolong_r1.jpg?sw=262&sh=262&sm=fit","Milky Oolong Loose Leaf Gift Cube","1 tsp per cup","3-6 mins","80°C (176°F)","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwd8e90fc5/images/products/Packaging/T105AE011_milky-oolong_Sha1.png?sw=55&sh=55&sm=fit']","['Cube 100g-3.5oz']","['A$18.00']","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwd8e90fc5/images/products/Packaging/T105AE011_milky-oolong_Sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw6906074c/images/UXProject/new-tea-images/T105AE011_milky-oolong_r1.jpg?sw=100&sh=100&sm=fit']","This debonair drop has all the buttery goodness of an oolong base with a sleek, creamy aftertaste. A milky oolong that's smooth and satisfying.Enjoy with: Perfect on its own.Store in a cool, dry place.","Oolong tea, natural and artificial flavouring",""
"Matcha","Mint Chip Matcha 30g Tin","https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwefe02e41/images/Matcha/T115AI115_mint-chip-matcha-tin-30g_p2.png?sw=262&sh=262&sm=fit","Mint Chip Matcha 30g Tin","1/2 tsp per tea bowl","Whisk","80°C/176°F","[]","[]","[]","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwefe02e41/images/Matcha/T115AI115_mint-chip-matcha-tin-30g_p2.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwbdbc92c3/images/Matcha/T115AI115_mint-chip-matcha-tin-30g_p1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw22c38cb4/images/Matcha/T115AI115_mint-chip-matcha_r1.png?sw=100&sh=100&sm=fit']","Net Wt. 30g / 1oz  Minty choc and matcha – trust us, this combo was mint to be. Turn your matcha ritual into one overflowing with choccy, minty magic. Plus, we’ve added just a touch of liquorice root – sweet tooths, we got you. Store in a cool, dry place.","Powdered green tea, liquorice (liquorice root extract, glucose syrup, brown sugar syrup), natural flavouring, peppermint 6% (peppermint extract, glucose syrup, peppermint oil), cocoa powder.","A$32.00"
"Matcha","Mythic Matcha Scoop","https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw10b6da1b/images/products/0306/A31500068_copper-matcha-scoop_p1.png?sw=262&sh=262&sm=fit","Mythic Matcha Scoop","","","","[]","[]","[]","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw10b6da1b/images/products/0306/A31500068_copper-matcha-scoop_p1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw8a12e3bf/images/products/0306/A31500068_copper-matcha-scoop_p2.png?sw=100&sh=100&sm=fit']","Mythic Matcha ScoopMaking matcha gets a mystic makeover! We’ve taken our traditional stainless-steel matcha scoop and dipped the whole thing in copper for a mysterious little number that’ll see you whipping up your daily cuppa with a twinkle in your eye..","Stainless steel. Gentle hand wash, not suitable for microwave or dishwasher","A$6.00"
"Tea Bags","New York Breakfast Teabag Gift Cube","https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwabf62e86/images/B125AE021_new-york-breakfast_r1.jpg?sw=262&sh=262&sm=fit","New York Breakfast Teabag Gift Cube","1 bag","2-4 mins","100°C (212°F)","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwf9c4285f/images/B125AE021_new-york-breakfast_p1.png?sw=55&sh=55&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw6448c80c/images/B125AG064_New_York_Breakfast_Teabag_Everyday_Refill.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwdc0ccbc4/images/B125AI018_New_York_Breakfast_Teabag_Everyday_Tin.png?sw=100&sh=100&sm=fit']","['Cube 25pk', 'Foil 60pk', 'Tin 60pk']","['A$16.00', 'A$36.00', 'A$38.00']","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwf9c4285f/images/B125AE021_new-york-breakfast_p1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwabf62e86/images/B125AE021_new-york-breakfast_r1.jpg?sw=100&sh=100&sm=fit']","A full-bodied black tea boasting the taste of hot pancakes, inspired by a perfect New York moment. Warm up the morning or sweeten your afternoon and be whisked away to the city that never sleeps!","Black tea, cinnamon, natural and artificial flavouring, vanilla",""
